Name,Team,Position,PositionExp,PositionGrp,Side,Age,Height,Weight,Years,Playtime,College,Jersey
Tristan Okpalaugo,Arizona,DE,Defensive End,Front Seven,Defense,26,78,250,0,Rookie,Fresno State,58
Frostee Rucker,Arizona,DT,Defensive Tackle,Front Seven,Defense,32,75,280,11,9-12 Yrs,USC,92
Corey Peters,Arizona,DT,Defensive Tackle,Front Seven,Defense,28,75,305,7,5-8 Yrs,Kentucky,98
Red Bryant,Arizona,DT,Defensive Tackle,Front Seven,Defense,32,76,323,9,9-12 Yrs,Texas A&M,71
Ed Stinson,Arizona,DT,Defensive Tackle,Front Seven,Defense,26,76,287,3,1-4 Yrs,Alabama,91
Olsen Pierre,Arizona,DT,Defensive Tackle,Front Seven,Defense,24,76,293,1,1-4 Yrs,Miami,72
Robert Nkemdiche,Arizona,DT,Defensive Tackle,Front Seven,Defense,21,76,296,0,Rookie,Ole Miss,5
Rodney Gunter,Arizona,DT,Defensive Tackle,Front Seven,Defense,24,77,305,2,1-4 Yrs,Delaware State,95
Josh Mauro,Arizona,DT,Defensive Tackle,Front Seven,Defense,25,78,282,3,1-4 Yrs,Stanford,97
Calais Campbell,Arizona,DT,Defensive Tackle,Front Seven,Defense,29,80,300,9,9-12 Yrs,Miami,93
Earl Watford,Arizona,G,Guard,Offensive Line,Offense,26,75,300,4,1-4 Yrs,James Madison,78
Jake Bernstein,Arizona,G,Guard,Offensive Line,Offense,23,76,304,0,Rookie,Vanderbilt,64
Evan Mathis,Arizona,G,Guard,Offensive Line,Offense,34,77,301,12,9-12 Yrs,Alabama,69
Mike Iupati,Arizona,G,Guard,Offensive Line,Offense,29,77,331,7,5-8 Yrs,Idaho,76
Antoine McClain,Arizona,G,Guard,Offensive Line,Offense,26,77,336,2,1-4 Yrs,Clemson,60
Kevin Minter,Arizona,LB,Linebacker,Front Seven,Defense,25,72,246,4,1-4 Yrs,LSU,51
Quayshawn Nealy,Arizona,LB,Linebacker,Front Seven,Defense,24,72,237,1,1-4 Yrs,Georgia Tech,42
Lamar Louis,Arizona,LB,Linebacker,Front Seven,Defense,22,72,231,0,Rookie,LSU,NA
Markus Golden,Arizona,LB,Linebacker,Front Seven,Defense,25,74,260,2,1-4 Yrs,Missouri,44
Gabe Martin,Arizona,LB,Linebacker,Front Seven,Defense,24,74,236,1,1-4 Yrs,Bowling Green,50
Mike Reilly,Arizona,LB,Linebacker,Front Seven,Defense,24,75,261,0,Rookie,William & Mary,88
Zack Wagenmann,Arizona,LB,Linebacker,Front Seven,Defense,23,75,250,2,1-4 Yrs,Montana,49
Alex Okafor,Arizona,LB,Linebacker,Front Seven,Defense,25,76,261,4,1-4 Yrs,Texas,57
Alani Fua,Arizona,LB,Linebacker,Front Seven,Defense,24,77,234,2,1-4 Yrs,BYU,59
Kareem Martin,Arizona,LB,Linebacker,Front Seven,Defense,24,78,272,3,1-4 Yrs,North Carolina,96
Shaq Riddick,Arizona,LB,Linebacker,Front Seven,Defense,23,78,260,2,1-4 Yrs,West Virginia,47
Daniel Dillon,Arizona,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,23,75,225,0,Rookie,Campbell,10
Kameron Canaday,Arizona,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,22,76,245,0,Rookie,Portland State,NA
Xavier Williams,Arizona,NT,Nose Tackle,Front Seven,Defense,24,74,309,2,1-4 Yrs,Northern Iowa,94
Givens Price,Arizona,OT,Offensive Tackle,Offensive Line,Offense,21,76,295,0,Rookie,Nebraska,NA
D.J. Humphries,Arizona,OT,Offensive Tackle,Offensive Line,Offense,22,77,307,2,1-4 Yrs,Florida,74
Cole Toner,Arizona,OT,Offensive Tackle,Offensive Line,Offense,22,77,305,0,Rookie,Harvard,78
Clay DeBord,Arizona,OT,Offensive Tackle,Offensive Line,Offense,24,78,305,0,Rookie,Eastern Washington,NA
Rob Crisp,Arizona,OT,Offensive Tackle,Offensive Line,Offense,25,79,300,1,1-4 Yrs,NC State,67
John Wetzel,Arizona,OT,Offensive Tackle,Offensive Line,Offense,25,79,328,1,1-4 Yrs,Boston College,73
Jared Veldheer,Arizona,OT,Offensive Tackle,Offensive Line,Offense,29,80,321,7,5-8 Yrs,Hillsdale,68
Garrett Swanson,Arizona,P,Punter,Special Teams,Special Teams,22,72,230,0,Rookie,Fresno State,NA
Drew Butler,Arizona,P,Punter,Special Teams,Special Teams,27,73,217,4,1-4 Yrs,Georgia,2
Chandler Catanzaro,Arizona,PK,Place Kicker,Special Teams,Special Teams,25,75,200,3,1-4 Yrs,Clemson,7
Matt Barkley,Arizona,QB,Quarterback,QB,Offense,25,74,227,4,1-4 Yrs,USC,9
Drew Stanton,Arizona,QB,Quarterback,QB,Offense,32,75,243,10,9-12 Yrs,Michigan State,5
Carson Palmer,Arizona,QB,Quarterback,QB,Offense,36,77,235,14,13+ Yrs,USC,3
Jake Coker,Arizona,QB,Quarterback,QB,Offense,23,77,236,0,Rookie,Alabama,NA
Kerwynn Williams,Arizona,RB,Running Back,Tailback,Offense,25,68,198,3,1-4 Yrs,Utah State,33
Andre Ellington,Arizona,RB,Running Back,Tailback,Offense,27,69,199,4,1-4 Yrs,Clemson,38
Stepfan Taylor,Arizona,RB,Running Back,Tailback,Offense,25,69,216,4,1-4 Yrs,Stanford,30
Chris Johnson,Arizona,RB,Running Back,Tailback,Offense,30,71,203,9,9-12 Yrs,East Carolina,23
David Johnson,Arizona,RB,Running Back,Tailback,Offense,24,73,224,2,1-4 Yrs,Northern Iowa,31
Elijhaa Penny,Arizona,RB,Running Back,Tailback,Offense,22,74,247,0,Rookie,Idaho,NA
Tyvon Branch,Arizona,S,Safety,Defensive Back,Defense,29,72,210,9,9-12 Yrs,Connecticut,27
Tyrequek Zimmerman,Arizona,S,Safety,Defensive Back,Defense,23,72,213,1,1-4 Yrs,Oregon State,77
Tyrann Mathieu,Arizona,S,Safety,Defensive Back,Defense,24,69,186,4,1-4 Yrs,LSU,32
D.J. Swearinger,Arizona,S,Safety,Defensive Back,Defense,24,70,208,4,1-4 Yrs,South Carolina,36
Matthias Farley,Arizona,S,Safety,Defensive Back,Defense,24,71,210,0,Rookie,Notre Dame,NA
Tony Jefferson,Arizona,S,Safety,Defensive Back,Defense,24,71,212,4,1-4 Yrs,Oklahoma,22
Chris Clemons,Arizona,S,Safety,Defensive Back,Defense,30,73,215,8,5-8 Yrs,Clemson,29
Deone Bucannon,Arizona,S,Safety,Defensive Back,Defense,23,73,211,3,1-4 Yrs,Washington State,20
Marqui Christian,Arizona,S,Safety,Defensive Back,Defense,21,73,200,0,Rookie,Midwestern State,1
Durell Eskridge,Arizona,S,Safety,Defensive Back,Defense,24,75,207,1,1-4 Yrs,Syracuse,37
Gerald Christian,Arizona,TE,Tight End,Tight End,Offense,24,75,250,2,1-4 Yrs,Louisville,83
Jermaine Gresham,Arizona,TE,Tight End,Tight End,Offense,28,77,260,7,5-8 Yrs,Oklahoma,84
Hakeem Valles,Arizona,TE,Tight End,Tight End,Offense,23,77,260,0,Rookie,Monmouth,80
Troy Niklas,Arizona,TE,Tight End,Tight End,Offense,23,78,270,3,1-4 Yrs,Notre Dame,87
Darren Fells,Arizona,TE,Tight End,Tight End,Offense,30,79,281,3,1-4 Yrs,UC Irvine,85
Ifeanyi Momah,Arizona,TE,Tight End,Tight End,Offense,26,79,255,2,1-4 Yrs,Boston College,80
Chris Hubert,Arizona,WR,Wide Receiver,Wide Receiver,Offense,23,69,155,0,Rookie,Fayetteville State,NA
J.J. Nelson,Arizona,WR,Wide Receiver,Wide Receiver,Offense,24,70,160,2,1-4 Yrs,UAB,14
Amir Carlisle,Arizona,WR,Wide Receiver,Wide Receiver,Offense,23,70,195,0,Rookie,Notre Dame,NA
Brittan Golden,Arizona,WR,Wide Receiver,Wide Receiver,Offense,28,71,186,3,1-4 Yrs,West Texas A&M,10
John Brown,Arizona,WR,Wide Receiver,Wide Receiver,Offense,26,71,179,3,1-4 Yrs,Pittsburg State,12
Rico Richardson,Arizona,WR,Wide Receiver,Wide Receiver,Offense,25,73,185,1,1-4 Yrs,Jackson State,17
Jaxon Shipley,Arizona,WR,Wide Receiver,Wide Receiver,Offense,24,73,190,1,1-4 Yrs,Texas,16
Jaron Brown,Arizona,WR,Wide Receiver,Wide Receiver,Offense,26,74,205,4,1-4 Yrs,Clemson,13
Michael Floyd,Arizona,WR,Wide Receiver,Wide Receiver,Offense,26,74,220,5,5-8 Yrs,Notre Dame,15
Larry Fitzgerald,Arizona,WR,Wide Receiver,Wide Receiver,Offense,32,75,218,13,13+ Yrs,Pittsburgh,11
Chris Chester,Atlanta,C,Center,Offensive Line,Offense,33,75,303,11,9-12 Yrs,Oklahoma,65
James Stone,Atlanta,C,Center,Offensive Line,Offense,24,75,291,2,1-4 Yrs,Tennessee,62
Alex Mack,Atlanta,C,Center,Offensive Line,Offense,30,76,311,8,5-8 Yrs,California,55
Mike Person,Atlanta,C,Center,Offensive Line,Offense,28,76,300,6,5-8 Yrs,Montana State,68
Desmond Trufant,Atlanta,CB,Cornerback,Defensive Back,Defense,25,72,190,4,1-4 Yrs,Washington,21
Jordan Sefon,Atlanta,CB,Cornerback,Defensive Back,Defense,22,72,198,0,Rookie,St. Cloud State,23
David Mims,Atlanta,CB,Cornerback,Defensive Back,Defense,NA,70,184,0,Rookie,Texas State,22
Robert Alford,Atlanta,CB,Cornerback,Defensive Back,Defense,27,70,186,4,1-4 Yrs,Southeastern Louisiana,23
DeMarcus Van Dyke,Atlanta,CB,Cornerback,Defensive Back,Defense,27,73,185,4,1-4 Yrs,Miami,37
Jalen Collins,Atlanta,CB,Cornerback,Defensive Back,Defense,23,73,203,2,1-4 Yrs,LSU,32
Devonte Johnson,Atlanta,CB,Cornerback,Defensive Back,Defense,23,73,185,0,Rookie,Weber State,5
Akeem King,Atlanta,CB,Cornerback,Defensive Back,Defense,23,73,212,2,1-4 Yrs,San Jose State,28
Sharrod Neasman,Atlanta,DB,Defensive Back,Defensive Back,Defense,NA,72,198,0,Rookie,Florida Atlantic,29
Robenson Therezie,Atlanta,DB,Defensive Back,Defensive Back,Defense,24,69,212,2,1-4 Yrs,Auburn,27
Brian Poole,Atlanta,DB,Defensive Back,Defensive Back,Defense,23,69,210,0,Rookie,Florida,24
Damian Parms,Atlanta,DB,Defensive Back,Defensive Back,Defense,23,74,210,0,Rookie,Florida Atlantic,40
Jonathan Babineaux,Atlanta,DE,Defensive End,Front Seven,Defense,34,74,300,12,9-12 Yrs,Iowa,95
Derrick Shelby,Atlanta,DE,Defensive End,Front Seven,Defense,27,74,280,5,5-8 Yrs,Utah,NA
Vic Beasley Jr.,Atlanta,DE,Defensive End,Front Seven,Defense,24,74,246,2,1-4 Yrs,Clemson,44
Adrian Clayborn,Atlanta,DE,Defensive End,Front Seven,Defense,28,75,280,6,5-8 Yrs,Iowa,99
Nordly Capi,Atlanta,DE,Defensive End,Front Seven,Defense,24,75,249,1,1-4 Yrs,Akron,NA
Malliciah Goodman,Atlanta,DE,Defensive End,Front Seven,Defense,26,76,276,4,1-4 Yrs,Clemson,93
Brandon Williams,Atlanta,DE,Defensive End,Front Seven,Defense,22,77,254,0,Rookie,Southern Illinois,NA
Ra'Shede Hageman,Atlanta,DE,Defensive End,Front Seven,Defense,25,78,318,3,1-4 Yrs,Minnesota,77
Grady Jarrett,Atlanta,DT,Defensive Tackle,Front Seven,Defense,23,72,305,2,1-4 Yrs,Clemson,97
Cory Johnson,Atlanta,DT,Defensive Tackle,Front Seven,Defense,24,75,300,0,Rookie,Kentucky,67
Joey Mbu,Atlanta,DT,Defensive Tackle,Front Seven,Defense,23,75,310,1,1-4 Yrs,Houston,74
Tyson Jackson,Atlanta,DT,Defensive Tackle,Front Seven,Defense,30,76,296,8,5-8 Yrs,LSU,94
Patrick DiMarco,Atlanta,FB,Fullback,Tailback,Offense,27,73,234,5,5-8 Yrs,South Carolina,42
Andy Levitre,Atlanta,G,Guard,Offensive Line,Offense,30,74,303,8,5-8 Yrs,Oregon State,67
Michael Huey,Atlanta,G,Guard,Offensive Line,Offense,27,76,317,1,1-4 Yrs,Texas,NA
Ben Garland,Atlanta,G,Guard,Offensive Line,Offense,28,77,308,2,1-4 Yrs,Air Force,63
Paul Worrilow,Atlanta,LB,Linebacker,Front Seven,Defense,26,72,230,4,1-4 Yrs,Delaware,55
Will Ratelle,Atlanta,LB,Linebacker,Front Seven,Defense,23,71,250,0,Rookie,North Dakota,51
LaRoy Reynolds,Atlanta,LB,Linebacker,Front Seven,Defense,25,73,240,4,1-4 Yrs,Virginia,NA
Deion Jones,Atlanta,LB,Linebacker,Front Seven,Defense,21,73,222,0,Rookie,LSU,45
Philip Wheeler,Atlanta,LB,Linebacker,Front Seven,Defense,31,74,245,9,9-12 Yrs,Georgia Tech,51
Sean Weatherspoon,Atlanta,LB,Linebacker,Front Seven,Defense,28,74,244,7,5-8 Yrs,Missouri,55
Courtney Upshaw,Atlanta,LB,Linebacker,Front Seven,Defense,26,74,272,5,5-8 Yrs,Alabama,91
Torrey Green,Atlanta,LB,Linebacker,Front Seven,Defense,22,74,230,0,Rookie,Utah State,39
Brooks Reed,Atlanta,LB,Linebacker,Front Seven,Defense,29,75,254,6,5-8 Yrs,Arizona,56
De'Vondre Campbell,Atlanta,LB,Linebacker,Front Seven,Defense,23,76,232,0,Rookie,Minnesota,26
Ivan McLennan,Atlanta,LB,Linebacker,Front Seven,Defense,23,76,233,0,Rookie,Washington State,3
Tyler Starr,Atlanta,LB,Linebacker,Front Seven,Defense,25,77,250,2,1-4 Yrs,South Dakota,41
Josh Harris,Atlanta,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,27,73,224,5,5-8 Yrs,Auburn,47
Chris Mayes,Atlanta,NT,Nose Tackle,Front Seven,Defense,24,75,321,0,Rookie,Georgia,93
Collin Rahrig,Atlanta,OL,Offensive Line,Offensive Line,Offense,24,74,285,1,1-4 Yrs,Indiana,64
Shahbaz Ahmed,Atlanta,OL,Offensive Line,Offensive Line,Offense,22,75,285,0,Rookie,Temple,NA
Jake Reed,Atlanta,OL,Offensive Line,Offensive Line,Offense,23,76,288,0,Rookie,Indiana,50
Tom Compton,Atlanta,OT,Offensive Tackle,Offensive Line,Offense,27,77,308,4,1-4 Yrs,South Dakota,NA
Jake Matthews,Atlanta,OT,Offensive Tackle,Offensive Line,Offense,24,77,309,3,1-4 Yrs,Texas A&M,70
Wes Schweitzer,Atlanta,OT,Offensive Tackle,Offensive Line,Offense,22,77,314,0,Rookie,San Jose State,72
Bryce Harris,Atlanta,OT,Offensive Tackle,Offensive Line,Offense,27,78,300,5,5-8 Yrs,Fresno State,72
Laurence Gibson,Atlanta,OT,Offensive Tackle,Offensive Line,Offense,25,78,305,1,1-4 Yrs,Virginia Tech,NA
Ryan Schraeder,Atlanta,OT,Offensive Tackle,Offensive Line,Offense,28,79,300,4,1-4 Yrs,Valdosta State,73
Matt Bosher,Atlanta,P,Punter,Special Teams,Special Teams,28,72,208,6,5-8 Yrs,Miami,5
Matt Bryant,Atlanta,PK,Place Kicker,Special Teams,Special Teams,41,69,203,15,13+ Yrs,Baylor,3
Nick Rose,Atlanta,PK,Place Kicker,Special Teams,Special Teams,NA,74,203,0,Rookie,Texas,23
Matt Simms,Atlanta,QB,Quarterback,QB,Offense,27,75,210,2,1-4 Yrs,Tennessee,8
Matt Ryan,Atlanta,QB,Quarterback,QB,Offense,31,76,217,9,9-12 Yrs,Boston College,2
Sean Renfree,Atlanta,QB,Quarterback,QB,Offense,26,77,225,4,1-4 Yrs,Duke,12
Matt Schaub,Atlanta,QB,Quarterback,QB,Offense,35,78,245,13,13+ Yrs,Virginia,8
Tevin Coleman,Atlanta,RB,Running Back,Tailback,Offense,23,72,210,2,1-4 Yrs,Indiana,26
Terron Ward,Atlanta,RB,Running Back,Tailback,Offense,24,67,201,2,1-4 Yrs,Oregon State,33
Devonta Freeman,Atlanta,RB,Running Back,Tailback,Offense,24,68,206,3,1-4 Yrs,Florida State,24
Gus Johnson,Atlanta,RB,Running Back,Tailback,Offense,22,70,215,1,1-4 Yrs,Stephen F Austin,35
Brandon Wilds,Atlanta,RB,Running Back,Tailback,Offense,23,73,225,0,Rookie,South Carolina,22
Keanu Neal,Atlanta,S,Safety,Defensive Back,Defense,20,72,211,0,Rookie,Florida,42
Ricardo Allen,Atlanta,S,Safety,Defensive Back,Defense,24,69,186,2,1-4 Yrs,Purdue,37
Charles Godfrey,Atlanta,S,Safety,Defensive Back,Defense,30,71,210,9,9-12 Yrs,Iowa,30
Kemal Ishmael,Atlanta,SS,Strong Safety,Defensive Back,Defense,25,72,206,4,1-4 Yrs,UCF,36
Jacob Tamme,Atlanta,TE,Tight End,Tight End,Offense,31,75,230,9,9-12 Yrs,Kentucky,83
DJ Tialavea,Atlanta,TE,Tight End,Tight End,Offense,24,76,260,1,1-4 Yrs,Utah State,86
Joshua Perkins,Atlanta,TE,Tight End,Tight End,Offense,22,76,227,0,Rookie,Washington,82
Austin Hooper,Atlanta,TE,Tight End,Tight End,Offense,21,76,248,0,Rookie,Stanford,18
Levine Toilolo,Atlanta,TE,Tight End,Tight End,Offense,24,80,265,4,1-4 Yrs,Stanford,80
Devin Fuller,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,22,72,194,0,Rookie,UCLA,7
David Glidden,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,24,67,185,0,Rookie,Oklahoma State,NA
Daje Johnson,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,NA,69,184,0,Rookie,Texas,4
Eric Weems,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,31,69,195,10,9-12 Yrs,Bethune-Cookman,14
Aldrick Robinson,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,27,70,187,4,1-4 Yrs,SMU,13
Nick Williams,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,25,70,184,2,1-4 Yrs,Connecticut,15
Justin Hardy,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,24,70,192,2,1-4 Yrs,East Carolina,16
Devin Hester,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,33,71,190,11,9-12 Yrs,Miami,17
J.D. McKissic,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,22,71,193,0,Rookie,Arkansas State,23
Mohamed Sanu,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,26,74,210,5,5-8 Yrs,Rutgers,12
Jordan Leslie,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,24,74,209,1,1-4 Yrs,BYU,18
Julio Jones,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,27,75,220,6,5-8 Yrs,Alabama,11
C.J. Goodwin,Atlanta,WR,Wide Receiver,Wide Receiver,Offense,26,75,190,1,1-4 Yrs,California (PA),89
Ryan Jensen,Baltimore,C,Center,Offensive Line,Offense,25,76,310,3,1-4 Yrs,Colorado State-Pueblo,66
Anthony Fabiano,Baltimore,C,Center,Offensive Line,Offense,23,77,290,0,Rookie,Harvard,NA
Tavon Young,Baltimore,CB,Cornerback,Defensive Back,Defense,22,69,183,0,Rookie,Temple,1
Lardarius Webb,Baltimore,CB,Cornerback,Defensive Back,Defense,30,70,182,8,5-8 Yrs,Nicholls State,21
Kyle Arrington,Baltimore,CB,Cornerback,Defensive Back,Defense,29,70,190,8,5-8 Yrs,Hofstra,24
Shareece Wright,Baltimore,CB,Cornerback,Defensive Back,Defense,29,71,182,6,5-8 Yrs,USC,35
Will Davis,Baltimore,CB,Cornerback,Defensive Back,Defense,26,71,190,4,1-4 Yrs,Utah State,39
Maurice Canady,Baltimore,CB,Cornerback,Defensive Back,Defense,22,73,193,0,Rookie,Virginia,26
Jimmy Smith,Baltimore,CB,Cornerback,Defensive Back,Defense,27,74,206,6,5-8 Yrs,Colorado,22
Sheldon Price,Baltimore,CB,Cornerback,Defensive Back,Defense,25,74,198,1,1-4 Yrs,UCLA,32
Julian Wilson,Baltimore,CB,Cornerback,Defensive Back,Defense,24,74,205,2,1-4 Yrs,Oklahoma,42
Jumal Rolle,Baltimore,DB,Defensive Back,Defensive Back,Defense,26,72,188,3,1-4 Yrs,Catawba,38
Matt Judon,Baltimore,DE,Defensive End,Front Seven,Defense,23,75,250,0,Rookie,Grand Valley State,9
Lawrence Guy,Baltimore,DE,Defensive End,Front Seven,Defense,26,76,305,6,5-8 Yrs,Arizona State,93
Kapron Lewis-Moore,Baltimore,DE,Defensive End,Front Seven,Defense,26,76,315,4,1-4 Yrs,Notre Dame,95
Bronson Kaufusi,Baltimore,DE,Defensive End,Front Seven,Defense,25,78,281,0,Rookie,BYU,90
Brent Urban,Baltimore,DE,Defensive End,Front Seven,Defense,25,79,295,3,1-4 Yrs,Virginia,96
Michael Pierce,Baltimore,DL,Defensive Lineman,Front Seven,Defense,23,72,309,0,Rookie,Samford,98
Trevon Coley,Baltimore,DT,Defensive Tackle,Front Seven,Defense,22,72,305,0,Rookie,Florida Atlantic,NA
Brandon Williams,Baltimore,DT,Defensive Tackle,Front Seven,Defense,27,73,335,4,1-4 Yrs,Missouri Southern State,98
Timmy Jernigan,Baltimore,DT,Defensive Tackle,Front Seven,Defense,23,74,302,3,1-4 Yrs,Florida State,97
Willie Henry,Baltimore,DT,Defensive Tackle,Front Seven,Defense,22,75,311,0,Rookie,Michigan,69
Carl Davis,Baltimore,DT,Defensive Tackle,Front Seven,Defense,24,77,320,2,1-4 Yrs,Iowa,94
Kyle Juszczyk,Baltimore,FB,Fullback,Tailback,Offense,25,73,248,4,1-4 Yrs,Harvard,44
Jeremy Zuttah,Baltimore,G,Guard,Offensive Line,Offense,30,76,300,9,9-12 Yrs,Rutgers,53
Jarell Broxton,Baltimore,G,Guard,Offensive Line,Offense,23,77,325,0,Rookie,Baylor,NA
Arthur Brown,Baltimore,LB,Linebacker,Front Seven,Defense,26,72,240,4,1-4 Yrs,Kansas State,59
Zachary Orr,Baltimore,LB,Linebacker,Front Seven,Defense,24,72,255,3,1-4 Yrs,North Texas,54
Cavellis Luckett,Baltimore,LB,Linebacker,Front Seven,Defense,23,72,245,0,Rookie,Middle Tennessee,NA
Elvis Dumervil,Baltimore,LB,Linebacker,Front Seven,Defense,32,71,255,11,9-12 Yrs,Louisville,58
Chris Carter,Baltimore,LB,Linebacker,Front Seven,Defense,27,73,240,6,5-8 Yrs,Fresno State,56
Victor Ochi,Baltimore,LB,Linebacker,Front Seven,Defense,22,73,241,0,Rookie,Stony Brook,NA
Albert McClellan,Baltimore,LB,Linebacker,Front Seven,Defense,30,74,254,6,5-8 Yrs,Marshall,50
C.J. Mosley,Baltimore,LB,Linebacker,Front Seven,Defense,24,74,235,3,1-4 Yrs,Alabama,57
Patrick Onwuasor,Baltimore,LB,Linebacker,Front Seven,Defense,23,74,225,0,Rookie,Portland State,NA
Terrell Suggs,Baltimore,LB,Linebacker,Front Seven,Defense,33,75,265,14,13+ Yrs,Arizona State,55
Kamalei Correa,Baltimore,LB,Linebacker,Front Seven,Defense,22,75,248,0,Rookie,Boise State,8
Mario Ojemudia,Baltimore,LB,Linebacker,Front Seven,Defense,22,75,249,0,Rookie,Michigan,NA
Brennen Beyer,Baltimore,LB,Linebacker,Front Seven,Defense,23,76,256,1,1-4 Yrs,Michigan,45
Za'Darius Smith,Baltimore,LB,Linebacker,Front Seven,Defense,23,76,275,2,1-4 Yrs,Kentucky,90
Blaine Clausell,Baltimore,LB,Linebacker,Front Seven,Defense,24,79,315,1,1-4 Yrs,Mississippi State,4
Morgan Cox,Baltimore,LS,Long Snapper (pre-1970 this may indicate Left Safety),Special Teams,Special Teams,30,76,233,7,5-8 Yrs,Tennessee,46
Marshal Yanda,Baltimore,OG,Offensive Guard,Offensive Line,Offense,31,75,305,10,9-12 Yrs,Iowa,73
John Urschel,Baltimore,OG,Offensive Guard,Offensive Line,Offense,25,75,305,3,1-4 Yrs,Penn State,64
James Hurst,Baltimore,OT,Offensive Tackle,Offensive Line,Offense,24,77,312,3,1-4 Yrs,North Carolina,74
Alex Lewis,Baltimore,OT,Offensive Tackle,Offensive Line,Offense,24,77,290,0,Rookie,Nebraska,71
Ronnie Stanley,Baltimore,OT,Offensive Tackle,Offensive Line,Offense,22,77,304,0,Rookie,Notre Dame,78
Rick Wagner,Baltimore,OT,Offensive Tackle,Offensive Line,Offense,26,78,310,4,1-4 Yrs,Wisconsin,71
De'Ondre Wesley,Baltimore,OT,Offensive Tackle,Offensive Line,Offense,23,78,326,2,1-4 Yrs,BYU,77
Sam Koch,Baltimore,P,Punter,Special Teams,Special Teams,33,73,219,11,9-12 Yrs,Nebraska,4
Wil Lutz,Baltimore,PK,Place Kicker,Special Teams,Special Teams,22,72,190,0,Rookie,Georgia State,NA
Justin Tucker,Baltimore,PK,Place Kicker,Special Teams,Special Teams,26,73,183,5,5-8 Yrs,Texas,9
Josh Johnson,Baltimore,QB,Quarterback,QB,Offense,30,75,205,8,5-8 Yrs,San Diego,NA
Jerrod Johnson,Baltimore,QB,Quarterback,QB,Offense,27,77,251,1,1-4 Yrs,Texas A&M,1
Joe Flacco,Baltimore,QB,Quarterback,QB,Offense,31,78,245,9,9-12 Yrs,Delaware,5
Ryan Mallett,Baltimore,QB,Quarterback,QB,Offense,28,78,245,6,5-8 Yrs,Arkansas,7
Javorius Allen,Baltimore,RB,Running Back,Tailback,Offense,24,72,220,2,1-4 Yrs,USC,37
Lorenzo Taliaferro,Baltimore,RB,Running Back,Tailback,Offense,24,72,225,3,1-4 Yrs,Coastal Carolina,34
Justin Forsett,Baltimore,RB,Running Back,Tailback,Offense,30,68,195,9,9-12 Yrs,California,29
Trent Richardson,Baltimore,RB,Running Back,Tailback,Offense,26,69,225,4,1-4 Yrs,Alabama,33
Terrance West,Baltimore,RB,Running Back,Tailback,Offense,25,70,225,3,1-4 Yrs,Towson,27
